"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"182","8","47303374381","112537030","tae1723","Tae1723","514858","League of Legends: Wild Rift","live","[SOLO] New SEASON Ranked Grind! Farming Kids With AP Varus  [NA} [ENG]","4","2022-10-14T20:20:49Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_tae1723-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"183","9","41389568155","53873722","omgblackbear","Omgblackbear","514858","League of Legends: Wild Rift","live","Diamond Support playing Nautilus top 20 in NA","3","2022-10-14T15:58:16Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_omgblackbear-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"184","10","46178761180","611176533","chickinnuggiz","chickinnuggiz","514858","League of Legends: Wild Rift","live","ranked","3","2022-10-14T21:43:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_chickinnuggiz-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"185","11","41389762491","101224201","bradabing","BradaBing","514858","League of Legends: Wild Rift","live","It's the 90's and R&B just came on, time to grind! | 🥶 🍦 BING CHILLING 🥶 🍦","3","2022-10-14T17:46:35Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_bradabing-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""315618b7-c996-443d-a993-e8d5cdb5d1bd"", ""3575df89-da01-4fc1-939c-b5465093ed04"", ""6131f3f8-67aa-4c2d-b9c3-daa8f95a850e"", ""1eba3cfe-51cc-460a-8259-bc8bb987f904"")","FALSE"
"186","12","39947546328","765267665","vocruen","Vocruen","514858","League of Legends: Wild Rift","live","Начало сезона. Возвращение к истокам. /Звук есть делайте громче/","3","2022-10-14T18:33:41Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_vocruen-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"187","13","39948486696","837329860","maximus_twich10","maximus_twich10","514858","League of Legends: Wild Rift","live","League of legends:Wild Rift - читсо по кайфу на чиле","2","2022-10-14T22:16:04Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_maximus_twich10-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"188","14","41390339883","816915410","ousay999","ousay999","514858","League of Legends: Wild Rift","live","Wild Rift","1","2022-10-14T22:12:10Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ousay999-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"189","15","46178914476","113901480","kissforyou","KissForYou","514858","League of Legends: Wild Rift","live","cz/sk 5q premade dia elo","1","2022-10-14T22:33:35Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kissforyou-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"190","16","39948447624","689610312","new_oob","new_oob","514858","League of Legends: Wild Rift","live","Boosting Akshan and Twisted Fate on Diamond","1","2022-10-14T22:02:13Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_new_oob-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"191","17","40348727305","584889861","betobjj","BETOBJJ","514858","League of Legends: Wild Rift","live","COD ft Frank Simata","1","2022-10-14T22:30:09Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_betobjj-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"192","18","47303416781","479929705","wakeuphati","wakeuphati","514858","League of Legends: Wild Rift","live","going for masters | GM top lane","1","2022-10-14T20:30:46Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_wakeuphati-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"193","19","47303713101","770678080","dankydoodledandy","dankydoodledandy","514858","League of Legends: Wild Rift","live","wild rift climbing._.master now. support and sub and lets goooooooo!","1","2022-10-14T21:34:46Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_dankydoodledandy-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"194","20","39948393960","835590739","simos_mertzos26","simos_mertzos26","514858","League of Legends: Wild Rift","live","RANKED ❤️","1","2022-10-14T21:44:01Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_simos_mertzos26-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"195","21","47303729101","629281598","bigbootyisherduty","bigbootyisherduty","514858","League of Legends: Wild Rift","live","Wild Rifting, SongRequests","1","2022-10-14T21:38:12Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_bigbootyisherduty-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"196","22","41390122843","714169319","ositokillz74","ositokillz74","514858","League of Legends: Wild Rift","live","im getting better…. i think","1","2022-10-14T20:46:19Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ositokillz74-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"197","23","47303767181","119591207","l1c4_nazti","L1C4_NAZTi","514858","League of Legends: Wild Rift","live","smokin so I'm aying with my toes","1","2022-10-14T21:46:05Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_l1c4_nazti-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"198","24","40348412025","836518919","retrosaurus99","retrosaurus99","514858","League of Legends: Wild Rift","live","wild rift gameplay","1","2022-10-14T21:37:50Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_retrosaurus99-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"199","25","41390247611","116610535","ratchet_grandpa","Ratchet_Grandpa","514858","League of Legends: Wild Rift","live","Free Chicken","1","2022-10-14T21:37:33Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ratchet_grandpa-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"200","26","41390053851","184705495","jswellz","jswellz","514858","League of Legends: Wild Rift","live","New Season Climb (US)","1","2022-10-14T20:13:14Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jswellz-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"201","27","39948050760","836836246","kinderpingvi77","kinderpingvi77","514858","League of Legends: Wild Rift","live","Wild Rift","1","2022-10-14T20:16:42Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kinderpingvi77-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"202","28","39948493000","796567833","11thmonk","11thmonk","514858","League of Legends: Wild Rift","live","[EU-PL/EN] Polish Grandmaster Jungler in action [NEW SEASON]","1","2022-10-14T22:18:30Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_11thmonk-{width}x{height}.jpg","list(""340f150f-3371-4055-9350-5c559ea913ca"", ""afc8211a-8eee-48b8-9e18-212f22f657db"", ""81e9d348-82e5-4c4f-a140-d2b3779b912d"", ""589c4c39-a3cc-41fa-b70c-bf0b735fa21f"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"203","29","41390412667","61567620","addict33d","addict33d","514858","League of Legends: Wild Rift","live","League of Legends let's do it.","1","2022-10-14T22:38:17Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_addict33d-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"204","30","39948527976","802380295","skillkany","skillkany","514858","League of Legends: Wild Rift","live","wild rift meister ist pflicht","1","2022-10-14T22:32:53Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_skillkany-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"205","31","40348790505","623391803","stormchangers101","stormchangers101","514858","League of Legends: Wild Rift","live","Overwatch!!!!!","0","2022-10-14T22:40:16Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_stormchangers101-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"206","32","40348792569","229090512","g0ldengamr","g0ldengamr","514858","League of Legends: Wild Rift","live","Straight WWWW!! Come Watch Now","0","2022-10-14T22:40:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_g0ldengamr-{width}x{height}.jpg","NULL","FALSE"
"207","1","47311770701","127133374","zinwr","ZinWR","514858","League of Legends: Wild Rift","live","Samira getting Nerf next week so I'm abusing her now hehe! Also NEW YT VIDEO about LEE SIN IS OUT ➤  !newvid !youtube","173","2022-10-16T03:19:10Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_zinwr-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"208","2","39953296728","36933313","esl_asia","esl_asia","514858","League of Legends: Wild Rift","live","🔴 [EN] AP League of Legends: Wild Rift | Snapdragon Mobile Challenge Grand Finals | Day 2","48","2022-10-16T01:40:05Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_esl_asia-{width}x{height}.jpg","list(""36a89a80-4fcd-4b74-b3d2-2c6fd9b30c95"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"209","3","47312207165","30247859","storieswr","storieswr","514858","League of Legends: Wild Rift","live","Challenger ADC Playing With Viewers?","35","2022-10-16T04:40:06Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_storieswr-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
