"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"306","6","41382331291","8768915","oddster","Oddster","513181","Genshin Impact","live","ONLY MALES FROM YOUTUBE Exploring and CYNO WISHING!!!","107","2022-10-12T19:55:27Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_oddster-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"307","7","47293843373","175130490","frostybitz","FrostyBitz","513181","Genshin Impact","live","【DROPS】My Cyno is almost level 90 and I'm suffering【AR 60 NA/Asia】 | !tits !throne","100","2022-10-12T21:32:46Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_frostybitz-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"308","8","39760998727","127793554","kumabooty","kumabooty","513181","Genshin Impact","live","archon quest act 4 👀 | !short !clips","100","2022-10-12T16:27:31Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kumabooty-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"309","9","40338113305","91001091","aznvasions","Aznvasions","513181","Genshin Impact","live","[🔴!DROPS] Nilou Waiting Room~ | !stug !veilbreaker 🍑 !lure !amp !GunCO | !discord","81","2022-10-12T14:45:17Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_aznvasions-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"310","10","47293001085","780350967","trevitogaming","TrevitoGaming","513181","Genshin Impact","live","[Partner Push Day 6]🔥Double Welkin GA✨Account review wednesday! Lets gooo !discord !giveaway !subwheel","73","2022-10-12T18:01:00Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_trevitogaming-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"311","11","47293206189","437244795","daemonv2","DaemonV2","513181","Genshin Impact","live","[drops] Gonna slay the abyss","66","2022-10-12T19:02:41Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_daemonv2-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"312","12","47292266061","112290794","kisari","Kisari","513181","Genshin Impact","live","[DROPS] Kawaii cat waifu is here to clean you up! uwu ✧VTUBER✧ !socials !rogue !javy !kofi !freshstart","65","2022-10-12T12:36:15Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kisari-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"313","13","40339263081","532057065","risstar","Risstar","513181","Genshin Impact","live","✨Drops✨ Inazuma WE COMIN FOR YA!!!","60","2022-10-12T20:00:17Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_risstar-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"314","14","41382482299","453413854","mssweethart","MsSweethart","513181","Genshin Impact","live","[DROPS] Where is my Layla - !genshin !socials !commands","55","2022-10-12T21:07:35Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_mssweethart-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"315","15","47294022205","182297372","madiisun","madiisun","513181","Genshin Impact","live","Dwayne ""The Rock"" Johnson Cosplay","53","2022-10-12T22:04:39Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_madiisun-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""cc8d5abb-39c9-4942-a1ee-e1558512119e"", ""ac763b17-7bea-4632-9eb4-d106689ff409"", ""eaba0ad7-c4e1-4878-b37f-01308dbb65c8"", ""3575df89-da01-4fc1-939c-b5465093ed04"", ""69318d09-f132-4853-b4b6-09a0580f7092"")","TRUE"
"316","16","39761217591","480257153","priderrr","PridERRR","513181","Genshin Impact","live","[DROPS ON] Finally finishing the Mondstadt event? | !yt !discord !sus !pp !8ball","48","2022-10-12T19:32:05Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_priderrr-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
