"","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"57","41385510971","719261257","theesirius","TheeSirius","516575","VALORANT","live","rise and grind 👻👻 !rank","43","2022-10-13T13:52:51Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_theesirius-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"58","39943278200","119976749","ramberggg","RambergGG","516575","VALORANT","live","🔴[ENG][18+][!Dreamhack]🌟Good F****** clean family entertainment you can trust 🌟","42","2022-10-13T17:05:52Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ramberggg-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"59","46173650540","40962770","fizzyxddd","FizzyxDDD","516575","VALORANT","live","Rankeds  | RBLS Fizzy","41","2022-10-13T17:51:22Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_fizzyxddd-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"60","41385902587","40247574","smacksmackk","SmackSmackk","516575","VALORANT","live","Immortal Brimstone ONE TRICK 🐴 !lineups - !newvid MENACE","41","2022-10-13T17:53:44Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_smacksmackk-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"61","46173066460","172540588","staticmmiv","StaticMMIV","516575","VALORANT","live","!HARBOR EARLY ACCESS COME WATCH | !twitter !discord !sub @StaticMMIV","40","2022-10-13T15:42:19Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_staticmmiv-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"62","40342392569","189971900","kyoukeu","Kyoukeu","516575","VALORANT","live","valo with viewers  NEW PNG !artcontest !accflex !sr !discord","39","2022-10-13T13:08:09Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kyoukeu-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"63","46172482332","59905917","henricom","HenricoM","516575","VALORANT","live","i don't know what to put here, did you even read this? probably not | twitter.com/henricomorton10","39","2022-10-13T12:21:39Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_henricom-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"64","47297884333","31631594","brush","Brush","516575","VALORANT","live","HARBOR TESTING !yt !duo !tracker","36","2022-10-13T18:00:54Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_brush-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"65","39943367832","177910789","wanhedagod","WANHEDAGOD","516575","VALORANT","live","Road to Brazil (Red Bull Campus Clutch Slovenia Qualifier) in a few minutes w/  @grmek77 ,  @WoozyVALORANT ,  @KHorror_VAL ,  @lep1nja","35","2022-10-13T17:21:25Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_wanhedagod-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"66","41385918987","225308837","ayomalikai","ayoMalikai","516575","VALORANT","live","ranked + guess the ranks :D !coaching | sub goal: 633/650 | follow @ayoMalikai","35","2022-10-13T18:02:03Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ayomalikai-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"67","39942656328","127948740","pframon","PFRamon","516575","VALORANT","live","Harbor Gameplay V.S. Cypher","35","2022-10-13T15:07:04Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_pframon-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"68","47297894157","590211963","treasonnnnn","Treasonnnnn","516575","VALORANT","live","Variety Game Day | !discord !merch !socials","34","2022-10-13T18:03:35Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_treasonnnnn-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"69","47297973149","37588197","justrahz","JustRahz","516575","VALORANT","live","Best Green rank gamer | !discord !youtube","32","2022-10-13T18:27:53Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_justrahz-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"70","41385105595","31873078","pinkcbj","pinkcbj","516575","VALORANT","live","main acc misery !shop !discord","30","2022-10-13T09:43:25Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_pinkcbj-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
