"","...1","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"1538","40","47280381213","148762018","xnbfn","XnBfn","516575","VALORANT","live","Ranked Then OW When I Get Bored","34","2022-10-10T00:46:22Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_xnbfn-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1539","41","47280528077","219050270","misahere","misahere","516575","VALORANT","live","ranked on alt ≧◡≦ (!socials, !cashapp)","34","2022-10-10T01:06:38Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_misahere-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1540","42","41372334379","617900770","yuitannn","Yuitannn","516575","VALORANT","live","(18+) Gonna be the Best Seapuppy Omen tonight w/ @KuarCB_EN","34","2022-10-10T02:04:27Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_yuitannn-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1541","43","47280669917","440916434","screwfaceval","ScrewFaceVAL","516575","VALORANT","live","VALORANT #1 GRIND | !coaching !tiktok","33","2022-10-10T01:26:50Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_screwfaceval-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1542","44","41372757067","181852049","getithxney","getithxney","516575","VALORANT","live","OW2| VALORANT| ETC| !primesub !discord !giveaway !twitter !instagram","33","2022-10-10T04:00:13Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_getithxney-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1543","45","41372662507","435028328","impixiedust","ImPixieDust","516575","VALORANT","live","lets get this rank up < 333 come play","32","2022-10-10T03:33:56Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_impixiedust-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""dffe48c0-951f-4bc3-a4a6-77a556988b70"", ""1eba3cfe-51cc-460a-8259-bc8bb987f904"")","FALSE"
"1544","46","41368909179","661003579","frostfox1234","FrostFox1234","516575","VALORANT","live","✦[Birthday Subathon Day 5]✦ shes 10 but shes a pocket sage ➳  !discord !socials","32","2022-10-09T04:10:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_frostfox1234-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1545","47","41372453899","666274006","kandiliciousx","kandiliciousx","516575","VALORANT","live","The weather is yucky so im playing val| !insta |","31","2022-10-10T02:37:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kandiliciousx-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1546","48","41372573819","256673038","heyitscaroline","heyitscaroline","516575","VALORANT","live","[ AUS/PC ] whats your favourite colour? - 24/30 days streaming in a row !discord !socials","30","2022-10-10T03:09:43Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_heyitscaroline-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1547","49","39753602407","240118544","karlishgg","karlishgg","516575","VALORANT","live","Happy Monday????? Lmao. Any subathon challenges reco? !birthmonth !dono !rank !discord !socials [ENG/FIL]","30","2022-10-10T02:38:28Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_karlishgg-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1548","50","47280513373","217959810","oliviaxo","oliviaxo","516575","VALORANT","live","friends are fish / sub goal 254/275♡ new emotes & badges soon! ♡","30","2022-10-10T01:04:33Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_oliviaxo-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2839af5-f1d2-46c4-8edc-1d0bfbd85070"")","TRUE"
"1549","51","41372529275","26774476","kocinan","kocinan","516575","VALORANT","live","My retirement home application to Enema Valley has been submitted.","30","2022-10-10T02:58:37Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kocinan-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1550","52","40328079273","427977967","andylegend_","AndyLegend_","516575","VALORANT","live","She's with ""him"" at twitchcon rn 😭😢😨😰","29","2022-10-10T03:00:53Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_andylegend_-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1551","53","41372819851","456347528","natawie","natawie","516575","VALORANT","live","losing streak wyd","28","2022-10-10T04:17:25Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_natawie-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1552","54","40327958473","188787513","larnington","Larnington","516575","VALORANT","live","Day 9 Unholy Sunday Valorant Session  w/ a Vampire and Panda! ~ !throne ~ !songlist ~ !reach ~ !patreon ~ !socials ~ !collab","28","2022-10-10T02:35:14Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_larnington-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1553","55","47279951037","88206160","photomn","PhotoMN","516575","VALORANT","live","👿 (Immortal) Ranked 😱| !Discord !Sens !Rank !Socials |","28","2022-10-09T23:44:48Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_photomn-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1554","56","41372424731","137874738","purevt","PureVT","516575","VALORANT","live","♥Girls Night Hehe♥","27","2022-10-10T02:29:25Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_purevt-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1555","57","40327447033","192236646","uscgdaly","uscgdaly","516575","VALORANT","live","subathon day 3 baby","27","2022-10-10T01:02:44Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_uscgdaly-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1556","58","47278519149","529740478","hero_haydes","Hero_Haydes","516575","VALORANT","live","| Everything Broke But I'm Here | Junji Ito's Tomie Cosplay","26","2022-10-09T19:34:48Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_hero_haydes-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1557","59","47279192061","468337401","unholythorne","unholythorne","516575","VALORANT","live","♡ meet the new kitten! viper main || !wishlist !pronouns !riot","26","2022-10-09T21:36:52Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_unholythorne-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1558","60","41372616315","117593072","notnyao","notnyao","516575","VALORANT","live","・❥・ vawo | ENVTUBER | !throne !socials","25","2022-10-10T03:21:48Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_notnyao-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1559","61","40328054537","189951027","drnol","DrNoL","516575","VALORANT","live","💚[281/365] Took a lot of L's in Mini Golf today. - !socials","24","2022-10-10T02:55:26Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_drnol-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
